Tweet index	Label	Tweet text
3795	0	My favorite color is every color.
3796	1	@ClayTravisBGID One could hope. 
3797	1	I love how when I'm stressed my body decides to react by causing me massive pain. 
3798	0	Girls with British accents.. :ok_hand_sign: On point.
3799	0	Think i almost just died, or burned my face off! #hategasbbqs
3800	0	#notcias #eu #europ EUA statement on European Commissions EU Investment Plan http://t.co/MXJXW5LOqz
3801	0	#nowplaying EaricPatten presents "DJ Earic Patten's Elektrik Metro House Vibes Mix Sessions on Club ..." at http://t.co/DUSMZ0kts4
3802	0	@normwilner Unless rogue theatres start showing it, or it gets sold online?
3803	1	whoever just did the hunger games whistle on the quiet floor, I applaud you on your originality and cultural relevance  #oldjoke
3804	1	Feeling like crap. And being treated horribly too. It's a great day.  #iwanttogohome
3805	0	@Nylons @quick13 @jamieyuccas @chadhartman it was an In progress list of "MN of the year"
3806	0	@TheFollowingFOX I get paid 4 posting stuff like this on TSU! ||YOU CAN TOO! go to http://t.co/JUmMWi0AyT||#FOLLOW #FOLLOWBACK
3807	0	@Abelv03 @KWAPT I just want learning from this group. Development. And to turn Green, Bass, and Thornton into assets.
3808	0	Only ones in the cinema  #putting #my #phone #on #silent @rebecca_inch http://t.co/qeid3NXXTs
3809	1	@BBCRadMac @StuartMaconie years ago in M && S in Rochdale they had 2 left shoes on sale with a £5 reduction from full price! #bargain 
3810	0	Montana Of 300 14 - THE BEST Versace Remix IN THE...: http://t.co/saAk4k9uzQ this dude goes off
3811	1	I should of just made a canvas of coffee stains and be done with it. #art 
3812	1	The world is such a smiley place. :flushed_face: 
3813	0	Two Broke Rednecks father/daughter riffing team who make fun of old educational films n more http://t.co/okfWzkWOmQ | http://t.co/7QG3iFJAyu
3814	0	#WTF is happening to these kids??? Are you kidding me with this?? #insulting #KnowYourHistory #WhoIsPaulMcCartney http://t.co/1tjgEdxm0k
3815	0	I would have made a much more convincing Bella Swan.
3816	1	I retweeted this so Chris Graham blocked me. |:face_with_tears_of_joy: http://t.co/W9zVXuhGhx
3817	0	Fries With That 304 #AlabamaStateMajors
3818	0	@StartUpGrindBuf @magnachef If you need a #dev #environmnet #then  #a #great #pick. For #regular #web #stuff, I #do #like #it
3819	1	I'm glad the DC Council has it's priorities intact...  #DC
3820	0	Riding the distraction train. ||CHOO CHOO
3821	0	Chill #Repost #Dead  #Dominos #Haha :face_with_tears_of_joy::skull: http://t.co/SnUkkgCDB9
3822	1	Someone I work w doesn't let his kids believe in Santa because he's mythical  & at odds w Church dogma. I REALLY want 2 explain  2 him
3823	0	Check out my new post! MyFairDaily: 10 Things I've Been Loving Lately http://t.co/wsFo2Dlu7h #lbloggers #holidays #myfairdaily #favorites
3824	1	Obama whisked away to hospital, diagnosed with acid reflux  http://t.co/42WQQVHBau -Wow, that's some real news. 
3825	0	@DCsportsGrl @DragonflyJonez true n that's y we r jaded EVERY YEAR
3826	0	Another one of our support vehicles modified for Iceland service. #Bigfoot #LANDROVER http://t.co/NRXO4gFG6E
3827	1	Thanks for shutting the city down.. 
3828	1	@flippysgardenia IKR?! don't you see? he's gonna cry from his utter joy of being with that crybaby! Such a beautiful "couple" 
3829	1	Glad there's not a typhoon where we go on holiday in 4 weeks.  #fml
3830	0	@banditelli regarding what the PSU president does
3831	0	@banditelli But still bothers me that I see now follow up report.
3832	0	well now that i've listened to all of into the woods, i'm going to listen to some FOB #nosurprisethere
3833	0	Hummingbirds #Are  #Experts #at #Hovering #After #All: #Background #Motion ...: If the hovering ability of the... http://t.co/E189iHBpZr
3834	0	Only thing missing now is a session at the gym... Want to do every body part though and CV!  #possible
